county_number,county
14,Carroll
25,Dallas
91,Warren
8,Boone
55,Kossuth
3,Allamakee
62,Mahaska
95,Winnebago
97,Woodbury
81,Sac
96,Winneshiek
94,Webster
10,Buchanan
70,Muscatine
84,Sioux
19,Chickasaw
64,Marshall
86,Tama
65,Mills
18,Cherokee
12,Butler
72,Osceola
43,Harrison
29,Des Moines
58,Louisa
36,Fremont
0,
57,Linn
52,Johnson
17,Cerro Gordo
20,Clarke
48,Iowa
85,Story
16,Cedar
37,Greene
61,Madison
67,Monona
11,Buena Vista
4,Appanoose
82,Scott
90,Wapello
31,Dubuque
40,Hamilton
41,Hancock
13,Calhoun
9,Bremer
75,Plymouth
50,Jasper
69,Montgomery
87,Taylor
2,Adams
71,O'Brien
21,Clay
73,Page
46,Humboldt
66,Mitchell
22,Clayton
56,Lee
89,Van Buren
28,Delaware
54,Keokuk
1,Adair
51,Jefferson
39,Guthrie
7,Black Hawk
77,Polk
24,Crawford
23,Clinton
93,Wayne
63,Marion
49,Jackson
53,Jones
59,Lucas
68,Monroe
33,Fayette
6,Benton
26,Davis
47,Ida
79,Poweshiek
45,Howard
30,Dickinson
76,Pocahontas
80,Ringgold
88,Union
78,Pottawattamie
34,Floyd
60,Lyon
42,Hardin
99,Wright
74,Palo Alto
32,Emmet
92,Washington
15,Cass
83,Shelby
35,Franklin
38,Grundy
5,Audubon
98,Worth
44,Henry
27,Decatur
