date,store,category,vendor_no,item,state_btl_cost,btl_price,bottle_qty,total
2014-01-09,2571,1031080,297,35917,4.17,6.25,24,150
2014-01-09,2571,1041150,370,33256,6.49,9.74,24,233.76
2014-01-09,2571,1032200,492,33802,6.56,9.84,1,9.84
2014-01-09,2571,1031200,260,41796,8.25,12.37,2,24.74
2014-01-09,2571,1031080,260,37996,8.25,12.37,12,148.44
2014-01-09,2571,1031080,421,36978,6.92,10.38,12,124.56
2014-01-09,2571,1062050,305,42240,9.42,14.13,2,28.26
2014-01-09,2571,1031200,260,41746,8.25,12.37,2,24.74
2014-01-09,2571,1031200,380,41705,7.5,11.25,3,33.75
2014-01-09,2571,1051010,115,53216,6.3,9.45,12,113.4
2014-01-09,2571,1062050,305,42244,9.42,14.13,2,28.26
2014-01-09,2571,1062050,305,42242,9.42,14.13,2,28.26
2014-01-09,2571,1062200,350,45278,7.84,11.76,6,70.56
2014-01-09,2571,1062200,350,45248,7.84,11.76,6,70.56
2014-01-09,2571,1062310,260,43337,11.75,17.62,12,211.44
2014-01-09,2571,1051010,205,52594,3.22,4.83,24,115.92
2014-01-09,2571,1051010,115,53214,3.05,4.57,24,109.68
2014-01-09,2571,1051010,205,52563,8,12,2,24
2014-03-31,3838,1012200,55,8828,11.18,16.76,6,100.56
2014-03-31,3679,1062310,259,43027,7.28,10.92,2,21.84
2014-03-31,2191,1031080,260,37996,8.25,12.37,3,37.11
2014-03-31,4619,1071100,395,58866,4.12,6.42,1,6.42
2014-03-31,3838,1081200,322,80438,10,15,6,90
2014-03-31,3790,1062300,370,42716,7.5,11.24,12,134.88
2014-03-31,3838,1081900,125,72950,8,12,12,144
2014-03-31,4353,1062310,260,43336,8.75,13.12,12,157.44
2014-03-31,3859,1012100,115,11786,5.23,7.84,24,188.16
2014-03-31,2512,1081390,260,69945,7,10.5,12,126
2014-03-31,3859,1011300,85,26826,14.04,21.05,72,1515.6
2014-03-31,2515,1081390,421,69638,14.66,21.99,6,131.94
2014-03-31,3859,1012100,260,11298,31.5,47.24,6,283.44
2014-03-31,4612,1012100,260,11296,14.75,22.13,12,265.56
2014-03-31,3859,1011100,260,25608,11.96,17.93,6,107.58
2014-03-31,2521,1081312,65,82786,6.3,9.45,12,113.4
2014-03-31,3859,1012100,115,11788,10.45,15.67,6,94.02
2014-03-31,3713,1031200,260,40965,8.25,12.37,12,148.44
2014-03-31,3859,1011200,65,20248,8.92,13.38,6,80.28
2014-03-31,2601,1081900,322,75211,10,15,3,45
2014-03-31,3859,1062310,260,43285,8.75,13.12,36,472.32
2014-03-31,2569,1012100,55,11936,4.34,6.51,12,78.12
2014-03-31,3859,1031080,297,35918,7.2,10.79,18,194.22
2014-03-31,4312,1052010,420,48106,18.49,27.74,36,998.64
2014-03-31,3868,1071100,65,63354,6.29,9.44,12,113.28
2014-03-31,4829,1032200,395,34972,10.67,16.26,36,585.36
2014-03-31,3859,1062310,259,43028,11.55,17.32,12,207.84
2014-03-31,3806,1062300,370,42716,7.5,11.24,12,134.88
2014-03-31,3859,1031080,434,36306,3.34,5.01,12,60.12
2014-03-31,2512,1022100,395,87403,5.5,8.25,3,24.75
2014-03-31,3859,1031080,260,37998,14.75,22.12,12,265.44
2014-03-31,4760,1011200,259,18116,6.21,9.65,36,347.4
2014-03-31,3859,1062310,259,43026,5.78,8.67,12,104.04
2014-03-31,3385,1081317,65,82637,7.62,11.43,12,137.16
2014-03-31,3859,1031080,434,36308,7.17,10.76,6,64.56
2014-03-31,2960,1011100,260,25608,11.96,17.93,6,107.58
2014-03-31,3859,1062300,370,42716,7.5,11.24,12,134.88
2014-03-31,2613,1011300,85,86670,14.04,21.05,12,252.6
2014-03-31,3859,1101100,434,41846,8.75,13.13,12,157.56
2014-03-31,4475,1031080,300,36908,7.47,11.21,6,67.26
